lhgr,fuel_radius,gap_size,clad_thickness,coolant_temperature,time,volAverage(T),volAverage(Bu)
16666.7,0.0045,0.0002,0.0005,563.1,44339017.24653364,978.8975,12912.63
16666.7,0.0045,0.0002,0.0005,563.1,44682394.45159925,978.8906,13012.63
16666.7,0.0045,0.0002,0.0005,563.1,45025771.656664856,978.8835,13112.63
16666.7,0.0045,0.0002,0.0005,563.1,45369148.861730464,978.8763,13212.63
16666.7,0.0045,0.0002,0.0005,563.1,45712526.06679607,978.8689,13312.63
16666.7,0.0045,0.0002,0.0005,563.1,46055903.27186168,978.8614,13412.63
16666.7,0.0045,0.0002,0.0005,563.1,46399280.47692729,978.8537,13512.63
16666.7,0.0045,0.0002,0.0005,563.1,46742657.681992896,978.8458,13612.63
16666.7,0.0045,0.0002,0.0005,563.1,47086034.887058504,978.8377,13712.63
16666.7,0.0045,0.0002,0.0005,563.1,47429412.09212411,978.8295,13812.63
16666.7,0.0045,0.0002,0.0005,563.1,47772789.29718972,978.8211,13912.63
16666.7,0.0045,0.0002,0.0005,563.1,48116166.50225533,978.8125,14012.63
16666.7,0.0045,0.0002,0.0005,563.1,48459543.707320936,978.8038,14112.63
16666.7,0.0045,0.0002,0.0005,563.1,48802920.912386544,978.7949,14212.63
16666.7,0.0045,0.0002,0.0005,563.1,49146298.11745215,978.7857,14312.63
16666.7,0.0045,0.0002,0.0005,563.1,49489675.32251776,978.7764,14412.63
16666.7,0.0045,0.0002,0.0005,563.1,49833052.52758337,978.7669,14512.63
16666.7,0.0045,0.0002,0.0005,563.1,50176429.732648976,978.7573,14612.63
16666.7,0.0045,0.0002,0.0005,563.1,50519806.937714584,978.7474,14712.63
16666.7,0.0045,0.0002,0.0005,563.1,50863184.14278019,978.7373,14812.63
16666.7,0.0045,0.0002,0.0005,563.1,51206561.3478458,978.7271,14912.63
16666.7,0.0045,0.0002,0.0005,563.1,51549938.55291141,978.7166,15012.63
16666.7,0.0045,0.0002,0.0005,563.1,51893315.757977016,978.706,15112.63
16666.7,0.0045,0.0002,0.0005,563.1,52236692.963042624,978.6951,15212.63
16666.7,0.0045,0.0002,0.0005,563.1,52580070.16810823,978.6841,15312.63
16666.7,0.0045,0.0002,0.0005,563.1,52923447.37317384,978.6728,15412.63
16666.7,0.0045,0.0002,0.0005,563.1,53266824.57823945,978.6614,15512.63
16666.7,0.0045,0.0002,0.0005,563.1,53610201.78330506,978.6497,15612.63
16666.7,0.0045,0.0002,0.0005,563.1,53953578.988370664,978.6378,15712.63
16666.7,0.0045,0.0002,0.0005,563.1,54296956.19343627,978.6258,15812.63
16666.7,0.0045,0.0002,0.0005,563.1,54640333.39850188,978.6135,15912.63
16666.7,0.0045,0.0002,0.0005,563.1,54983710.60356749,978.601,16012.63
16666.7,0.0045,0.0002,0.0005,563.1,55327087.8086331,978.5883,16112.63
16666.7,0.0045,0.0002,0.0005,563.1,55670465.013698705,978.5753,16212.63
16666.7,0.0045,0.0002,0.0005,563.1,56013842.21876431,978.5622,16312.63
16666.7,0.0045,0.0002,0.0005,563.1,56357219.42382992,978.5489,16412.63
16666.7,0.0045,0.0002,0.0005,563.1,56700596.62889553,978.5353,16512.63
16666.7,0.0045,0.0002,0.0005,563.1,57043973.83396114,978.5215,16612.63
16666.7,0.0045,0.0002,0.0005,563.1,57387351.039026745,978.5075,16712.63
16666.7,0.0045,0.0002,0.0005,563.1,57730728.24409235,978.4933,16812.63
16666.7,0.0045,0.0002,0.0005,563.1,58074105.44915796,978.4788,16912.63
16666.7,0.0045,0.0002,0.0005,563.1,58417482.65422357,978.4642,17012.63
16666.7,0.0045,0.0002,0.0005,563.1,58760859.85928918,978.4493,17112.63
16666.7,0.0045,0.0002,0.0005,563.1,59104237.064354785,978.4342,17212.63
16666.7,0.0045,0.0002,0.0005,563.1,59447614.26942039,978.4188,17312.63
16666.7,0.0045,0.0002,0.0005,563.1,59790991.474486,978.4032,17412.63
16666.7,0.0045,0.0002,0.0005,563.1,60134368.67955161,978.3875,17512.63
16666.7,0.0045,0.0002,0.0005,563.1,60477745.88461722,978.3714,17612.63
16666.7,0.0045,0.0002,0.0005,563.1,60821123.089682825,978.3552,17712.63
16666.7,0.0045,0.0002,0.0005,563.1,61164500.29474843,978.3387,17812.63
16666.7,0.0045,0.0002,0.0005,563.1,61507877.49981404,978.322,17912.63
16666.7,0.0045,0.0002,0.0005,563.1,61851254.70487965,978.3051,18012.63
16666.7,0.0045,0.0002,0.0005,563.1,62194631.90994526,978.2879,18112.63
16666.7,0.0045,0.0002,0.0005,563.1,62538009.115010865,978.2705,18212.63
16666.7,0.0045,0.0002,0.0005,563.1,62881386.32007647,978.2529,18312.63
16666.7,0.0045,0.0002,0.0005,563.1,63224763.52514208,978.235,18412.63
16666.7,0.0045,0.0002,0.0005,563.1,63568140.73020769,978.2169,18512.63
16666.7,0.0045,0.0002,0.0005,563.1,63911517.9352733,978.1985,18612.63
16666.7,0.0045,0.0002,0.0005,563.1,64254895.140338905,978.18,18712.63
16666.7,0.0045,0.0002,0.0005,563.1,64598272.34540451,978.1612,18812.63
16666.7,0.0045,0.0002,0.0005,563.1,64941649.55047012,978.1421,18912.63
16666.7,0.0045,0.0002,0.0005,563.1,65285026.75553573,978.1228,19012.63
16666.7,0.0045,0.0002,0.0005,563.1,65628403.96060134,978.1033,19112.63
16666.7,0.0045,0.0002,0.0005,563.1,65971781.165666945,978.0836,19212.63
16666.7,0.0045,0.0002,0.0005,563.1,66315158.37073255,978.0636,19312.63
16666.7,0.0045,0.0002,0.0005,563.1,66658535.57579816,978.0433,19412.63
16666.7,0.0045,0.0002,0.0005,563.1,67001912.78086377,978.0229,19512.63
16666.7,0.0045,0.0002,0.0005,563.1,67345289.98592938,978.0021,19612.63
16666.7,0.0045,0.0002,0.0005,563.1,67688667.190995,977.9812,19712.63
16666.7,0.0045,0.0002,0.0005,563.1,68032044.3960606,977.96,19812.63
16666.7,0.0045,0.0002,0.0005,563.1,68375421.60112621,977.9385,19912.63
16666.7,0.0045,0.0002,0.0005,563.1,68675900.0,977.9196,20000.13
23333.3,0.0045,0.00011,0.001,563.1,0.0,300.0,0.0
23333.3,0.0045,0.00011,0.001,563.1,1.0,572.6999,6.795225e-06
23333.3,0.0045,0.00011,0.001,563.1,60.0,1105.824,0.02406189
23333.3,0.0045,0.00011,0.001,563.1,32128.61429610155,1106.507,13.09887
23333.3,0.0045,0.00011,0.001,563.1,277398.88741078926,1100.488,113.0989
23333.3,0.0045,0.00011,0.001,563.1,522669.16052547697,1084.731,213.0989
23333.3,0.0045,0.00011,0.001,563.1,767939.4336401648,1075.315,313.0989
23333.3,0.0045,0.00011,0.001,563.1,1013209.7067548526,1068.528,413.0989
23333.3,0.0045,0.00011,0.001,563.1,1258479.9798695403,1063.164,513.0989
23333.3,0.0045,0.00011,0.001,563.1,1503750.252984228,1058.707,613.0989
23333.3,0.0045,0.00011,0.001,563.1,1749020.5260989158,1054.885,713.0989
23333.3,0.0045,0.00011,0.001,563.1,1994290.7992136036,1051.538,813.0989
23333.3,0.0045,0.00011,0.001,563.1,2239561.0723282914,1048.569,913.0989
23333.3,0.0045,0.00011,0.001,563.1,2484831.345442979,1045.904,1013.099
23333.3,0.0045,0.00011,0.001,563.1,2730101.618557667,1043.493,1113.099
23333.3,0.0045,0.00011,0.001,563.1,2975371.891672354,1041.295,1213.099
23333.3,0.0045,0.00011,0.001,563.1,3220642.1647870415,1039.278,1313.099
23333.3,0.0045,0.00011,0.001,563.1,3465912.437901729,1037.421,1413.099
23333.3,0.0045,0.00011,0.001,563.1,3711182.711016416,1035.704,1513.099
23333.3,0.0045,0.00011,0.001,563.1,3956452.9841311034,1034.11,1613.099
23333.3,0.0045,0.00011,0.001,563.1,4201723.257245791,1032.626,1713.099
23333.3,0.0045,0.00011,0.001,563.1,4446993.530360479,1031.24,1813.099
23333.3,0.0045,0.00011,0.001,563.1,4692263.803475167,1029.943,1913.099
23333.3,0.0045,0.00011,0.001,563.1,4937534.076589854,1028.725,2013.099
23333.3,0.0045,0.00011,0.001,563.1,5182804.349704542,1027.58,2113.099
23333.3,0.0045,0.00011,0.001,563.1,5428074.62281923,1026.502,2213.099
23333.3,0.0045,0.00011,0.001,563.1,5673344.895933918,1025.484,2313.099
23333.3,0.0045,0.00011,0.001,563.1,5918615.1690486055,1024.521,2413.099
23333.3,0.0045,0.00011,0.001,563.1,6163885.442163293,1023.61,2513.099
23333.3,0.0045,0.00011,0.001,563.1,6409155.715277981,1022.747,2613.099
23333.3,0.0045,0.00011,0.001,563.1,6654425.988392669,1021.928,2713.099
23333.3,0.0045,0.00011,0.001,563.1,6899696.261507357,1021.149,2813.099
23333.3,0.0045,0.00011,0.001,563.1,7144966.534622044,1020.409,2913.099
23333.3,0.0045,0.00011,0.001,563.1,7390236.807736732,1019.705,3013.099
23333.3,0.0045,0.00011,0.001,563.1,7635507.08085142,1019.034,3113.099
23333.3,0.0045,0.00011,0.001,563.1,7880777.353966108,1018.394,3213.099
